,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills
5081,Oath Analytics Data Engineer,120000-139999,data_engineer,"['Pig', 'JavaScript', 'Hive', 'Time Management', 'Hadoop', 'SQL', 'HTML5', 'Tableau', 'Spark', 'Data Warehouse', 'CSS', 'Python', 'PHP']",13
5082,Data Engineer,120000-139999,data_engineer,"['Project Management', 'Hadoop', 'Scripting', 'Azure', 'Kafka', 'Scala', 'C/C++', 'SQL', 'Big Data', 'Java', 'Cassandra', 'Spark', 'NoSQL', 'PostgreSQL', 'Python', 'AWS']",16
5083,Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Machine Learning', 'Hadoop', 'Scripting', 'Perl', 'HDI Certification', 'Azure', 'Kafka', 'SQL', 'HBase', 'Big Data', 'Java', 'Cassandra', 'MongoDB', 'Data Warehouse', 'REST', 'NoSQL', 'Python', 'AWS']",20
5084,Sr. Data Engineer,120000-139999,data_engineer,"['SEO', 'Perl', 'SQL', 'Apache', 'S3', 'PostgreSQL', 'Spark', 'Data Warehouse', 'Git', 'Docker', 'Python', 'AWS']",12
5085,Staff Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'HBase', 'Big Data', 'Cassandra', 'Spark', 'Design Experience', 'NoSQL', 'AWS']",10
5086,Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Pentaho', 'Hadoop', 'SAP', 'SQL', 'Java', 'Big Data', 'MySQL', 'Cassandra', 'PostgreSQL', 'Python']",11
5087,"Data Engineer (Python, Machine Learning)",120000-139999,data_engineer,"['Java', 'Natural Language Processing', 'AI', 'Machine Learning', 'Scala', 'Python', 'Military Experience']",7
5088,Data Engineer,120000-139999,data_engineer,"['Hive', 'Hadoop', 'Scala', 'R', 'Kafka', 'HBase', 'Spark', 'Design Experience', 'Python', 'AWS']",10
5089,Data Engineer,120000-139999,data_engineer,"['Akka', 'Scala', 'Google Cloud Platform', 'Azure', 'Kafka', 'Oracle', 'Apache', 'Java', 'MySQL', 'Cassandra', 'Spark', 'Kubernetes', 'Git', 'PostgreSQL', 'NoSQL', 'AWS']",16
5090,AWS Cloud Data Engineer,120000-139999,data_engineer,"['S3', 'Network', 'DynamoDB', 'AWS']",4
5091,Pr. Data Engineer,120000-139999,data_engineer,"['JavaScript', 'Go', 'Hadoop', 'CI/CD', 'Java', 'Spark', 'NoSQL', 'Data Science', 'Python', 'AWS']",10
5092,Data Engineer,120000-139999,data_engineer,"['Hive', 'Azure', 'SQL', 'Big Data', 'OpenStack', 'Spring', 'Hadoop', 'Kafka', 'Scala', 'Java', 'Cassandra', 'Spark', 'NoSQL', 'Elasticsearch', 'AWS']",15
5093,Data Engineer,120000-139999,data_engineer,"['Microsoft SQL Server', 'Machine Learning', 'SQL', 'MySQL', 'Spark', 'Data Warehouse', 'PostgreSQL', 'Data Analysis', 'Python', 'Web Development', 'AWS']",11
5094,"Associate, Data Engineer, Healthcare",120000-139999,data_engineer,"['Linux', 'Hive', 'Perl', 'Azure', 'SQL', 'Big Data', 'Informatica', 'Data Mining', 'PowerShell', 'Pentaho', 'Hadoop', 'Tableau', 'Teradata', '.Net', 'Alteryx', 'MongoDB', 'Spark', 'Shell Scripting', 'Python', 'AWS']",20
5095,Data Engineer,120000-139999,data_engineer,"['Java', 'Natural Language Processing', 'Machine Learning', 'Scala', 'Python', 'Military Experience']",6
5096,Senior Data Engineer,120000-139999,data_engineer,"['MongoDB', 'NoSQL', 'Python', 'SQL', 'AWS']",5
5097,Data Engineer - Azure Developer,120000-139999,data_engineer,"['Linux', 'Hive', 'Azure', 'SQL', 'PL/SQL', 'Business Intelligence', 'Data Mining', 'Hadoop', 'Oracle', 'SAS', 'HBase', 'Tableau', 'Data Warehouse', 'NoSQL']",14
5098,Senior Data Engineer,120000-139999,data_engineer,"['Hive', 'Machine Learning', 'Google Cloud Platform', 'Azure', 'Apache', 'Big Data', 'Kubernetes', 'Software Development', 'Kafka', 'Java', 'Spark', 'Data Warehouse', 'Docker', 'REST', 'NoSQL', 'Elasticsearch', 'AWS']",17
5099,Machine Learning Data Engineer,120000-139999,data_engineer,"['AI', 'Machine Learning', 'Scala', 'Java', 'Natural Language Processing', 'Design Experience', 'Python', 'Military Experience']",8
5100,Data Engineer Manager,120000-139999,data_engineer,"['Machine Learning', 'Hadoop', 'Azure', 'SQL', 'Tableau', 'Alteryx', 'Spark', 'Troubleshooting', 'Data Warehouse', 'Python']",10
5101,Big Data Engineer II,120000-139999,data_engineer,"['Linux', 'Hive', 'SQL', 'Big Data', 'Jenkins', 'Jira', 'SVN', 'TFS', 'Hadoop', 'Scripting', 'Scala', 'HBase', 'Java', 'Maven', 'Cassandra', 'Visual Studio', 'Spark', 'NoSQL', 'Shell Scripting', 'Python']",20
5102,Data Engineer,120000-139999,data_engineer,"['Hive', 'Microsoft SQL Server', 'Hadoop', 'SAP', 'Oracle', 'SQL', 'HBase', 'Teradata', 'Tableau', 'Big Data', 'T-SQL', 'PL/SQL', 'Spark', 'QlikView', 'Shell Scripting', 'Python']",16
5103,Senior Data Engineer,120000-139999,data_engineer,"['Ruby', 'Machine Learning', 'Scripting', 'Scala', 'CI/CD', 'CI', 'Git', 'PostgreSQL', 'Python', 'OOP', 'AWS']",11
5104,Senior Data Engineer,120000-139999,data_engineer,"['Database Administration', 'R', 'Python', 'SQL']",4
5105,"Associate, Data Engineer, Healthcare",120000-139999,data_engineer,"['Linux', 'Hive', 'Perl', 'Azure', 'SQL', 'Big Data', 'Informatica', 'Data Mining', 'PowerShell', 'Pentaho', 'Hadoop', 'Tableau', 'Teradata', '.Net', 'Alteryx', 'MongoDB', 'Spark', 'Shell Scripting', 'Python', 'AWS']",20
5106,Principal Data Engineer,120000-139999,data_engineer,"['Pig', 'Hive', 'Hadoop', 'Kafka', 'Azure', 'HBase', 'Cassandra', 'Maven', 'Spark', 'Kubernetes', 'Design Experience', 'Git', 'Docker', 'NoSQL', 'Jenkins', 'AWS']",16
5107,Big Data Engineer,120000-139999,data_engineer,"['Pig', 'Chef', 'Hive', 'Hadoop', 'Kafka', 'R', 'Scala', 'Azure', 'Big Data', 'Cassandra', 'MongoDB', 'Spark', 'Python', 'Jenkins', 'AWS']",15
